aspect,description,sentiment
tag,still worth,0.3
system,graphic,0.0
issue,different,0.0
button,single,-0.07142857142857142
map,more,0.5
class,friendliest,0.0
price,finished,0.0
thing,fucking,-0.6
thing,actual,0.0
controller,atrocious,-0.7
player,pro,0.0
banner,unauthorized,0.0
people,also unfinished,0.0
generation,wrong,-0.5
system,bad,-0.6999999999999998
break,stupid,-0.7999999999999999
force,annoying,-0.8
feel,unfinished,0.0
activision,good,0.7
voice,modern,0.2
friend,fun,0.3
make,black,-0.16666666666666666
head,bad,-0.6999999999999998
fix,late,-0.3
company,triple,0.0
give,bad,-0.6999999999999998
call,interesting,0.5
state,balkan,0.0
product,really bad,-0.6999999999999998
people,prone,0.0
game,amazing,0.6000000000000001
game,good,0.7
title,solid,0.0
content,amazing,0.6000000000000001
game,modern,0.2
version,regular,0.0
punish,loud,0.1
soul,free,0.4
recommend,annoying,-0.8
survival,big,0.0
donna,good,0.7
people,ready,0.2
game,great,0.8
ward,good,0.7
crash,good,0.7
place,ready,0.2
line,certain,0.21428571428571427
sweat,casual,-0.5000000000000001
search,redeemable,0.0
month,improved,0.0
ghost,modern,0.2
company,beg,0.0
weapon,similar,0.0
voice,first,0.25
ratsgood,good,0.7
probe,nice,0.6
guess,enough,0.0
release,bad,-0.6999999999999998
people,warm,0.6
support,official,0.0
fun,great,0.8
bind,explosive,0.0
riot,much,0.2
friend,clear,0.10000000000000002
town,random,-0.5
spice,unique,0.375
boy,nuclear,0.0
multiplayer,official,0.0
mode,different,0.0
launch,complete,0.1
reason,countless,0.0
problem,good,0.7
gun,hideous,0.0
level,main,0.16666666666666666
mode,new,0.13636363636363635
come,bad,-0.6999999999999998
base,long detailed,0.17500000000000002
direction,fairly boring,-1.0
rifle,red,0.0
gun,entire,0.0
border,common,-0.3
appearance,single,-0.07142857142857142
torture,great,0.8
spray,good,0.7
problem,fine,0.4166666666666667
reason,big,0.0
warne,good,0.7
progression,awful,-1.0
santa,probably bad,-0.6999999999999998
service,useless,-0.5
start,amazing,0.6000000000000001
faith,current,0.0
scratch,last,0.0
manpower,much,0.2
community,able,0.5
help,total,0.0
browse,simply functional,0.0
card,long,-0.05
multiplayer,much,0.2
recoil,sad,-0.5
movement,cool,0.35
death,absolutely glorious,0.2
rating,great,0.8
time,able,0.5
map,single,-0.07142857142857142
wish,single,-0.07142857142857142
system,refreshing,0.5
design,poor,-0.4
man,racial,0.0
movement,potential,0.0
nerve,full,0.35
gun,good,0.7
system,grand,0.5
spasm,easy,0.43333333333333335
classic,drunk,-0.5
sweat,flee,0.0
voice,probably good,0.7
controller,absolutely ridiculous,-0.3333333333333333
user,straight,0.2
match,ill,-0.5
story,great,0.8
feature,political,0.0
match,good,0.7
file,safe,0.5
launch,generous,0.0
developer,nonfunctional,0.0
review,much well previous,0.016666666666666677
beta,close,0.0
intention,embarrassing,0.0
fence,awful,-1.0
people,front,0.0
people,abundant,0.6
idea,possible,0.0
order,dear,0.0
order,proper,0.0
pace,fast,0.2
kill,enough,0.0
way,annoying,-0.8
shotgunsniper,infuriate,0.0
bullet,similar,0.0
singer,almost irrelevant,-0.5
range,lately due,-0.125
fuck,annoying,-0.8
react,vast,0.0
stance,campingholde,0.0
player,awful,-1.0
screen,dead,-0.2
vehicle,large,0.21428571428571427
multiplayer,online,0.0
give,bad,-0.6999999999999998
care,literally bad,-0.6999999999999998
people,annoying,-0.8
rage,still always side,0.0
crash,many,0.5
community,new,0.13636363636363635
gun,gold,0.0
voice,old,0.1
map,serious,-0.3333333333333333
battlefield,last,0.0
give,long,-0.05
time,sure,0.5
week,reinstate,0.0
team,unauthorized,0.0
case,good,0.7
people,last,0.0
company,sad,-0.5
play,fun,0.3
none,permanent,0.0
ass,complete,0.1
op,bad,-0.6999999999999998
performance,random,-0.5
company,pretty excusable,0.25
duty,probably bad,-0.6999999999999998
problem,big,0.0
weapon,really amazing,0.6000000000000001
movement,graphic,0.0
formula,resemble,0.0
match,skilled,0.5
time,total,0.0
issue,common,-0.3
word,good,0.7
content,good,0.7
pace,old,0.1
movement,less extra,-0.08333333333333333
manage,classic,0.16666666666666666
series,outspoken,0.0
implore,old,0.1
weapon,new,0.13636363636363635
map,barely content,0.05
hardware,good,0.7
title,polish,0.0
content,poor,-0.4
saying,old,0.1
reason,apparent,0.05
game,long,-0.05
player,first,0.25
idea,brilliant,0.9
design,tactical,0.0
camp,possible,0.0
mw2019,horrendous,0.0
map,new,0.13636363636363635
cod,beta,0.0
engine,new,0.13636363636363635
fan,much,0.2
lot,new,0.13636363636363635
lot,normal,0.15
team,ultimate,0.0
mode,impossible,-0.6666666666666666
good,current,0.0
match,lately constant,0.0
pace,awful,-1.0
disadvantage,otherwise equal,0.0
variety,much,0.2
player,enough,0.0
issue,technical,0.0
people,typical,-0.16666666666666666
issue,annoying,-0.8
1440p,good,0.7
difficulty,technical,0.0
gun,old,0.1
cod,kill,0.0
feature,fast,0.2
head,legal,0.2
debate,obvious,0.0
match,lucky,0.3333333333333333
weapon,close,0.0
face,sure,0.5
people,big,0.0
stuff,mechanic,0.0
player,new,0.13636363636363635
upgrade,unlock,0.0
thing,actual,0.0
win,middling,0.0
point,worth,0.3
see,really bad,-0.6999999999999998
theater,full,0.35
people,many,0.5
love,single,-0.07142857142857142
record,massive,0.0
case,minor,-0.05
weapon,dummy,0.0
description,impossible,-0.6666666666666666
akimbo,literal,0.0
tone,quick,0.3333333333333333
video,last,0.0
change,tear,0.0
progression,downright awful,-1.0
deal,well,0.0
hunt,safe,0.5
filler,original,0.375
self,last,0.0
people,excellent,1.0
way,really short,0.0
gun,good,0.7
section,painfully obvious,0.0
aunt,really many,0.5
change,minimal,-0.1
wish,damn,0.0
item,main,0.16666666666666666
feature,present,0.0
game,next,0.0
player,awesome,1.0
venus,scoreboard,0.0
issue,hard,-0.2916666666666667
span,many,0.5
rifle,slow,-0.30000000000000004
player,aggressive,0.0
head,embodiment,0.0
fun,smooth,0.4
issue,wrong,-0.5
gameplay,wasteful,0.0
slide,enjoyable,0.5
repetition,basically whole,0.2
system,sad,-0.5
review,intent,0.0
money,old,0.1
limit,best,1.0
thing,bad,-0.6999999999999998
oxygen,cold,-0.6
thing,easy,0.43333333333333335
comment,first,0.25
good,tolerable,0.0
problem,random,-0.5
campaign,good,0.7
cod,last,0.0
looseyeah,big,0.0
produce,less need,-0.16666666666666666
roof,top,0.5
goosewho,open,0.0
duty,quite possibly bad,-0.6999999999999998
base,gluttonous,0.0
patience,soon great,0.8
account,unable,-0.5
sight,petty,0.0
content,minor,-0.05
sign,future,0.0
stance,high,0.16
friend,secondary,-0.3
position,free,0.4
sweat,good,0.7
camp,whole,0.2
problem,pretty far fun,0.21666666666666665
mobile,incomplete,0.0
wish,original,0.375
return,last,0.0
system,unnessecary,0.0
faith,good,0.7
work,less stable,-0.16666666666666666
invulnerability,full,0.35
satisfy,viewmodel,0.0
campaign,amazing,0.6000000000000001
give,bad,-0.6999999999999998
party,awful,-1.0
game,poor,-0.4
encounter,run,0.0
display,objective,0.0
km,collateral,0.0
difference,good,0.7
gameplay,old,0.1
killstreak,even worth,0.3
scope,fast,0.2
venus,old,0.1
menu,weird,-0.5
control,fine,0.4166666666666667
class,unfinished,0.0
name,familiar,0.375
thing,online,0.0
campaign,good,0.7
mistake,little,-0.1875
pitch,sad,-0.5
cod,bad,-0.6999999999999998
internet,much,0.2
people,clearly cheap,0.4
campaign,well everted,0.0
developer,good,0.7
issue,single,-0.07142857142857142
punish,good,0.7
arcade,tactical,0.0
radiant,possible,0.0
water,bad,-0.6999999999999998
area,new,0.13636363636363635
play,great,0.8
map,horrendous,0.0
gameplay,really smooth,0.4
bag,much high,0.16
bag,fine,0.4166666666666667
prop,decent,0.16666666666666666
cod,new,0.13636363636363635
weapon,nombrebeautiful,0.0
force,bad,-0.6999999999999998
gun,close,0.0
sale,reasonable,0.2
people,desperate,-0.6
franchise,nearly entire,0.0
gunplay,even smoother,0.0
weapon,amazing,0.6000000000000001
movement,important,0.4
cod,kind mid,0.3
launch,possible,0.0
change,new,0.13636363636363635
fan,different,0.0
launch,typical,-0.16666666666666666
issue,big,0.0
play,really fun,0.3
lincoln,mental,-0.1
rely,even low,0.0
gift,honestly fun,0.3
multiplayer,main,0.16666666666666666
problem,full,0.35
moment,several,0.0
mission,flat,-0.025
time,exciting,0.3
complaint,wrong,-0.5
campaign,second,0.0
issue,lastly minor,-0.05
thing,modern,0.2
artifacte,little,-0.1875
duty,free,0.4
driver,recent,0.0
friend,dense,0.0
turn,interesting,0.5
law,even open,0.0
friend,fast,0.2
play,definitely worth,0.3
player,good,0.7
party,mysteriously unburned,0.0
reason,toxic,0.0
donna,especially old,0.2
design,toxic,0.0
price,good,0.7
nail,total,0.0
price,first,0.25
content,worth,0.3
thing,pretty good,0.475
exaggeration,ok,0.5
operator,definite,0.0
player,warne,0.0
love,still similar,0.0
paint,essentially fresh,0.3
release,bad,-0.6999999999999998
issue,little,-0.1875
reason,worried,0.0
day,single,-0.07142857142857142
battle,old,0.1
pistol,variant,0.0
movement,single,-0.07142857142857142
gameplay,excellent,1.0
gameplay,fresh,0.3
part,methodical,0.0
hide,aggressive,0.0
decision,less,-0.16666666666666666
fix,late,-0.3
rifle,happy,0.8
layer,good,0.7
map,pretty cool,0.3
change,sick,-0.7142857142857143
event,main,0.16666666666666666
playstyle,relatively fair,0.7
singleplayer,alone,0.0
parent,ill,-0.5
gun,unbearable,0.0
team,competent,0.5
music,lackluster,0.0
platform,fantastic,0.4
hobby,other,-0.125
law,horrible,-1.0
